Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
A comprehensive empirical study of file systems on optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9605448/,2021,2,"""Optane"" ""Database""",Yes,,,,
NF-log: Revisiting log writes in relational database for efficient persistent memory utilization,https://s-space.snu.ac.kr/handle/10371/187783,2022,0,"""Optane"" ""Database""",Yes,,,,
Performance evaluation of the intel optane dc memory with scientific benchmarks,https://ieeexplore.ieee.org/abstract/document/8946136/,2019,20,"""Optane"" ""Database""",Yes,,,,
A Novel Index-Organized Storage Model for Hybrid DRAM-PM Main Memory Database Systems,https://www.researchsquare.com/article/rs-5286510/latest,2024,0,"""Optane"" ""Database""",Yes,,,,
A Novel Index-Organized Data Layout for Hybrid DRAM-PM Main Memory Database Systems,https://www.researchsquare.com/article/rs-5249532/latest,2024,0,"""Optane"" ""Database""",Yes,,,,
High-availability in-memory key-value store using RDMA and Optane DCPMM,https://link.springer.com/article/10.1007/s11704-022-1123-8,2023,3,"""Optane"" ""Database""",Yes,,,,
Technical Perspective: Scaling Dynamic Hash Tables on Real Persistent Memory,https://dl.acm.org/doi/abs/10.1145/3471485.3471505,2021,0,"""Optane"" ""Database""",Yes,,,,
[C] Using Intel Optane DC Persistent Memory with Oracle TimesTen In-Memory Database,,2020,2,"""Optane"" ""Database""",Yes,,,,
The preliminary evaluation of a hypervisor-based virtualization mechanism for intel optane dc persistent memory module,https://arxiv.org/abs/1907.12014,1907,19,"""Optane"" ""Database""",No,,,,
The Embedded IoT Time Series Database for Hybrid Solid‐State Storage System,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/9948533,2021,8,"""Optane"" ""Database""",Yes,,,,
Persistent memory research in the post-optane era,https://dl.acm.org/doi/abs/10.1145/3609308.3625268,2023,22,"""Optane"" ""Database""",Yes,,,,
Special issue on the best papers of DaMoN 2019,https://link.springer.com/article/10.1007/s00778-020-00629-2,2020,0,"""Optane"" ""Database""",Yes,,,,
A read-efficient and write-optimized hash table for Intel Optane DC Persistent Memory,https://www.sciencedirect.com/science/article/pii/S0167739X24003297,2024,1,"""Optane"" ""Database""",Yes,,,,
SaS: SSD as SQL database system,https://dl.acm.org/doi/abs/10.14778/3461535.3461538,2021,13,"""Optane"" ""Database""",Yes,,,,
PnP: Rethinking Page Placement and Persistence Mechanisms to Support the new Intel Optane DC Persistent Memory,https://www.dpss.inesc-id.pt/~jpbarreto/data/uploads/thesis/miguel-marques-midterm.pdf,,0,"""Optane"" ""Database""",No,,,,
Single-node partitioned-memory for huge graph analytics: cost and performance trade-offs,https://dl.acm.org/doi/abs/10.1145/3458817.3476156,2021,8,"""Optane"" ""Database""",Yes,,,,
Persistent B+-Tree index evaluation over heterogeneous DRAM/NVM systems,https://dspace.lib.ntua.gr/xmlui/bitstream/handle/123456789/58581/thesis_skovola_upload.pdf?sequence=1,2024,0,"""Optane"" ""Database""",Yes,,,,
An Efficient Bucket Logging for Persistent Memory,https://link.springer.com/chapter/10.1007/978-3-030-85896-4_13,2021,0,"""Optane"" ""Database""",Yes,,,,
Platform storage performance with 3D XPoint technology,https://ieeexplore.ieee.org/abstract/document/8003284/,2017,302,"""Optane"" ""Database""",No,,,,
NVM: Is it not very meaningful for databases?,https://www.research-collection.ethz.ch/handle/20.500.11850/630556,2023,7,"""Optane"" ""Database""",Yes,,,,
Adapting database components to heterogeneous environments,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/679438/8/koutsoukos_thesis.pdf,2024,0,"""Optane"" ""Database""",Yes,,,,
Radiant: efficient page table management for tiered memory systems,https://dl.acm.org/doi/abs/10.1145/3459898.3463907,2021,25,"""Optane"" ""Database""",Yes,,,,
Early evaluation of intel optane non-volatile memory with hpc i/o workloads,https://arxiv.org/abs/1708.02199,2017,34,"""Optane"" ""Database""",No,,,,
Design of Database Systems with DRAM-only Heterogeneous Memory Architecture,https://ieeexplore.ieee.org/abstract/document/9101540/,2020,1,"""Optane"" ""Database""",Yes,,,,
Hiengine: How to architect a cloud-native memory-optimized database engine,https://dl.acm.org/doi/abs/10.1145/3514221.3526043,2022,11,"""Optane"" ""Database""",Yes,,,,
P-massive: a real-time search engine for a multi-terabyte mass spectrometry database,https://ieeexplore.ieee.org/abstract/document/10046108/,2022,8,"""Optane"" ""Database""",Yes,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""Database""",Yes,,,,
Intel optane dcpmm and serverless computing,https://arxiv.org/abs/2109.11021,2021,3,"""Optane"" ""Database""",Yes,,,,
Flexhm: A practical system for heterogeneous memory with flexible and efficient performance optimizations,https://dl.acm.org/doi/abs/10.1145/3565885,2022,5,"""Optane"" ""Database""",Yes,,,,
Memory-optimized multi-version concurrency control for disk-based database systems,https://dl.acm.org/doi/abs/10.14778/3551793.3551832,2022,10,"""Optane"" ""Database""",Yes,,,,
"The past, present and future of indexing on persistent memory",https://dl.acm.org/doi/abs/10.14778/3554821.3554897,2022,16,"""Optane"" ""Database""",Yes,,,,
Towards MRAM Byte-Addressable Persistent Memory in Edge Database Systems.,https://ceur-ws.org/Vol-3462/ADMS3.pdf,2023,0,"""Optane"" ""Database""",Yes,,,,
An Empirical Evaluation and Analysis of Performance of Multiple Optane SSDs,https://ieeexplore.ieee.org/abstract/document/9333865/,2021,4,"""Optane"" ""Database""",Yes,,,,
Ncredis: An nvm-optimized redis with memory caching,https://link.springer.com/chapter/10.1007/978-3-030-86475-0_7,2021,7,"""Optane"" ""Database""",Yes,,,,
Has intel created a universal memory technology?[news],https://ieeexplore.ieee.org/abstract/document/7906883/,2017,41,"""Optane"" ""Database""",No,,,,
Building blocks for persistent memory: How to get the most out of your new memory?,https://link.springer.com/article/10.1007/s00778-020-00622-9,2020,39,"""Optane"" ""Database""",Yes,,,,
The art of latency hiding in modern database engines,https://dl.acm.org/doi/abs/10.14778/3632093.3632117,2023,13,"""Optane"" ""Database""",Yes,,,,
PSL-DB: 비휘발성 메모리 환경에서 스킵리스트를 이용한 LSM-tree 최적화: PSL-DB: non volatile memory-optimized LSM-tree with skiplist,https://www.dbpia.co.kr/journal/detail?nodeId=T15659922,2020,0,"""Optane"" ""Database""",Yes,,,,
DOMe: A deduplication optimization method for the NewSQL database backups,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185189,2017,5,"""Optane"" ""Database""",No,,,,
Declog: Decentralized logging in non-volatile memory for time series database systems,https://dl.acm.org/doi/abs/10.14778/3617838.3617839,2023,3,"""Optane"" ""Database""",Yes,,,,
A new NVM device driver for IoT time series database,https://www.mdpi.com/2072-666X/13/3/385,2022,3,"""Optane"" ""Database""",Yes,,,,
Hemem: Scalable tiered memory management for big data applications and real nvm,https://dl.acm.org/doi/abs/10.1145/3477132.3483550,2021,131,"""Optane"" ""Database""",Yes,,,,
Disperse Access Considered Energy Inefficiency in Intel Optane DC Persistent Memory Servers,https://ieeexplore.ieee.org/abstract/document/9355739/,2020,0,"""Optane"" ""Database""",Yes,,,,
Integrating Non-Volatile Main Memory in a Deterministic Database,https://dl.acm.org/doi/abs/10.1145/3552326.3567494,2023,2,"""Optane"" ""Database""",Yes,,,,
Database Kernels: Seamless Integration of Database Systems and Fast Storage via CXL.,https://exascale.info/assets/pdf/lee2024cidr.pdf,2024,16,"""Optane"" ""Database""",Yes,,,,
Extending Memory Capacity in Modern Consumer Systems With Emerging Non-Volatile Memory: Experimental Analysis and Characterization Using the Intel Optane …,https://ieeexplore.ieee.org/abstract/document/10258271/,2023,2,"""Optane"" ""Database""",Yes,,,,
"Tiered Storage in Modern Key-Value Stores: Performance, Storage-Efficiency, and Cost-Efficiency Considerations",https://ieeexplore.ieee.org/abstract/document/10488241/,2024,3,"""Optane"" ""Database""",Yes,,,,
[C] Persistent memory performance in vSphere 6.7,,2019,2,"""Optane"" ""Database""",Yes,,,,
Extending In-Memory OLTP with Persistent Memory.,https://www.adms-conf.org/2021-camera-ready/avni_adms21.pdf,2021,2,"""Optane"" ""Database""",Yes,,,,
Spitfire: A three-tier buffer manager for volatile and non-volatile memory,https://dl.acm.org/doi/abs/10.1145/3448016.3452819,2021,60,"""Optane"" ""Database""",Yes,,,,
A scalable recoverable skip list for persistent memory,https://dl.acm.org/doi/abs/10.1145/3409964.3461819,2021,9,"""Optane"" ""Database""",Yes,,,,
Accelerating mono and multi-column selection predicates in modern main-memory database systems,https://repo.bibliothek.uni-halle.de/handle/1981185920/14079,2019,4,"""Optane"" ""Database""",Yes,,,,
"{SpanDB}: A fast,{Cost-Effective}{LSM-tree} based {KV} store on hybrid storage",https://www.usenix.org/conference/fast21/presentation/chen-hao,2021,116,"""Optane"" ""Database""",Yes,,,,
MB2: decomposed behavior modeling for self-driving database management systems,https://dl.acm.org/doi/abs/10.1145/3448016.3457276,2021,53,"""Optane"" ""Database""",Yes,,,,
HATree: a hotness-aware tree index with in-node hotspot cache for NVM/DRAM-based hybrid memory architecture,https://link.springer.com/chapter/10.1007/978-3-031-00123-9_44,2022,4,"""Optane"" ""Database""",Yes,,,,
Performance Analytics of Graph Algorithms Using Intel Optane DC Persistent Memory,https://search.proquest.com/openview/59840d772290d600c1b8a7f566c93e15/1?pq-origsite=gscholar&cbl=18750&diss=y,2021,0,"""Optane"" ""Database""",Yes,,,,
HeuristicDB: a hybrid storage database system using a non-volatile memory block device,https://dl.acm.org/doi/abs/10.1145/3456727.3463774,2021,8,"""Optane"" ""Database""",Yes,,,,
An efficient in-memory analytics system based on persistent memory,https://ieeexplore.ieee.org/abstract/document/10020461/,2022,1,"""Optane"" ""Database""",Yes,,,,
Accelerating database workloads with DM-writecache and persistent memory,https://dl.acm.org/doi/abs/10.1145/3297663.3309669,2019,6,"""Optane"" ""Database""",Yes,,,,
Scalable Global Grid catalogue for LHC Run3 and beyond,https://arxiv.org/abs/1704.05272,2017,1,"""Optane"" ""Database""",No,,,,
PiBench online: interactive benchmarking of persistent memory indexes,https://dl.acm.org/doi/abs/10.14778/3415478.3415483,2020,2,"""Optane"" ""Database""",Yes,,,,
Farview: Disaggregated memory with operator off-loading for database engines,https://arxiv.org/abs/2106.07102,2021,74,"""Optane"" ""Database""",Yes,,,,
PM-blade: A persistent memory augmented LSM-tree storage for database,https://ieeexplore.ieee.org/abstract/document/10184789/,2023,4,"""Optane"" ""Database""",Yes,,,,
Asynchronous I/O Persistence for In-Memory Database Servers: Leveraging io_uring,https://books.google.com/books?hl=en&lr=&id=I8AxEQAAQBAJ&oi=fnd&pg=PA11&dq=%22optane%22+%2B+%22database%22&ots=wKelDxC-VK&sig=9aRm2mlv99XCnZtkzTEF7uhPb2E,2024,0,"""Optane"" ""Database""",Yes,,,,
Building Scalable Dynamic Hash Tables on Persistent Memory,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper21-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""Database""",No,,,,
Zen: A high-throughput log-free OLTP engine for non-volatile main memory,https://dl.acm.org/doi/abs/10.14778/3446095.3446105,2021,36,"""Optane"" ""Database""",Yes,,,,
DANSEN: Database acceleration on native computational storage by exploiting NDP,https://dl.acm.org/doi/abs/10.1145/3655625,2024,1,"""Optane"" ""Database""",Yes,,,,
Revisiting persistent indexing structures on Intel Optane DC persistent memory,https://link.springer.com/article/10.1007/s11390-020-9871-0,2021,8,"""Optane"" ""Database""",Yes,,,,
Understanding the performance of persistent memory range indexes,https://summit.sfu.ca/_flysystem/fedora/2023-03/etd22342.pdf,2023,0,"""Optane"" ""Database""",Yes,,,,
Scalable global grid catalogue for Run3 and beyond,https://iopscience.iop.org/article/10.1088/1742-6596/898/9/092006/meta,2017,0,"""Optane"" ""Database""",No,,,,
Cascade lake: Next generation intel xeon scalable processor,https://ieeexplore.ieee.org/abstract/document/8641463/,2019,97,"""Optane"" ""Database""",Yes,,,,
PM-Rtree: A highly-efficient crash-consistent r-tree for persistent memory,https://dl.acm.org/doi/abs/10.1145/3538712.3538713,2022,7,"""Optane"" ""Database""",Yes,,,,
Understanding bulk-bitwise processing in-memory through database analytics,https://ieeexplore.ieee.org/abstract/document/10255629/,2023,8,"""Optane"" ""Database""",Yes,,,,
Write Behind Logging (WBL): Optimizing LSM-Tree based Key-Value Store with Persistent Memory,https://s-space.snu.ac.kr/handle/10371/187790,2022,0,"""Optane"" ""Database""",Yes,,,,
Asynchronous I/O Persistence for In-Memory Database Servers: Leveraging io_uring to Optimize Redis Persistence,https://link.springer.com/chapter/10.1007/978-3-031-77153-8_2,2024,1,"""Optane"" ""Database""",Yes,,,,
Flutist: Parallelizing Transaction Processing for LSM-Tree-Based Relational Database,https://link.springer.com/chapter/10.1007/978-981-97-7238-4_29,2024,0,"""Optane"" ""Database""",Yes,,,,
Multi-Clock Snapshot Isolation Concurrency Control for NVM Database,https://ieeexplore.ieee.org/abstract/document/9802875/,2022,1,"""Optane"" ""Database""",Yes,,,,
How can we leverage persistent memory in cloud-native database systems?,https://par.nsf.gov/servlets/purl/10332575,2020,0,"""Optane"" ""Database""",Yes,,,,
FOR SAS ANALYTICS,https://www.vexata.com/wp-content/uploads/2017/09/Vexata_SAS_SB1006_LR_4.5.pdf,2021,7,"""Optane"" ""Database""",Yes,,,,
"A survey on persistent memory indexes: Recent advances, challenges and opportunities",https://www.sciencedirect.com/science/article/pii/S1383762124000778,2024,1,"""Optane"" ""Database""",Yes,,,,
Evaluating persistent memory range indexes: Part two,https://dl.acm.org/doi/abs/10.14778/3551793.3551808,2022,24,"""Optane"" ""Database""",Yes,,,,
On the implications of heterogeneous memory tiering on spark in-memory analytics,https://ieeexplore.ieee.org/abstract/document/10196534/,2023,3,"""Optane"" ""Database""",Yes,,,,
A spatial index for hybrid storage,https://dl.acm.org/doi/abs/10.1145/3331076.3331091,2019,7,"""Optane"" ""Database""",Yes,,,,
"Database Systems for Advanced Applications: 28th International Conference, DASFAA 2023, Tianjin, China, April 17–20, 2023, Proceedings, Part I",https://books.google.com/books?hl=en&lr=&id=9aG5EAAAQBAJ&oi=fnd&pg=PR5&dq=%22optane%22+%2B+%22database%22&ots=QKL-JaMohf&sig=YpKBgAXadgYUFhMKVPbQLD_MEYc,2023,4,"""Optane"" ""Database""",Yes,,,,
PSL-DB: 비휘발성 메모리 환경에서 스킵리스트를 이용한 LSM-Tree 최적화,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE09366401,2020,0,"""Optane"" ""Database""",Yes,,,,
PMLiteDB: Streamlining Access Paths for High-Performance Persistent Memory Document Database Systems,https://ieeexplore.ieee.org/abstract/document/9961942/,2022,3,"""Optane"" ""Database""",Yes,,,,
Characterizing and modeling non-volatile memory systems,https://ieeexplore.ieee.org/abstract/document/9251957/,2020,125,"""Optane"" ""Database""",Yes,,,,
Drop it in like it's hot: An analysis of persistent memory as a drop-in replacement for nvme ssds,https://dl.acm.org/doi/abs/10.1145/3465998.3466010,2021,15,"""Optane"" ""Database""",Yes,,,,
Challenges and solutions for fast remote persistent memory access,https://dl.acm.org/doi/abs/10.1145/3419111.3421294,2020,60,"""Optane"" ""Database""",Yes,,,,
Self-Driving Database Systems,https://linmagit.github.io/research.pdf,,0,"""Optane"" ""Database""",No,,,,
Hybrid Database Architecture of Molecular Databases Management Systems,https://www.researchgate.net/profile/Irfan-Abbas-3/publication/380855500_Hybrid_Database_Architecture_of_Molecular_Databases_Management_Systems/links/66519d520b0d284574584066/Hybrid-Database-Architecture-of-Molecular-Databases-Management-Systems.pdf,2020,0,"""Optane"" ""Database""",Yes,,,,
Heterogeneous memory technologies in database management systems,https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00064781/ilm1-2024000328.pdf,2024,0,"""Optane"" ""Database""",Yes,,,,
Reducing Transaction Processing Latency in Hardware Transactional Memory-based Database with Non-volatile Memory.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=16737288&AN=157169278&h=v%2BogCT7u3E5CYZsCDpQ2iSmZUd55wuQBAKDrMrtINoXxOxFjRZgDUU8To%2Fr%2FpWlM%2B2O%2BTSg41Rq6%2BHBte0a7fQ%3D%3D&crl=c,2022,0,"""Optane"" ""Database""",Yes,,,,
"{ScaleDB}: A Scalable, Asynchronous {In-Memory} Database",https://www.usenix.org/conference/osdi23/presentation/mehdi,2023,3,"""Optane"" ""Database""",Yes,,,,
DimmStore: memory power optimization for database systems,https://dl.acm.org/doi/abs/10.14778/3342263.33422629,2019,15,"""Optane"" ""Database""",Yes,,,,
Autotm: Automatic tensor movement in heterogeneous memory systems using integer linear programming,https://dl.acm.org/doi/abs/10.1145/3373376.3378465,2020,91,"""Optane"" ""Database""",Yes,,,,
Evaluating persistent memory range indexes,https://dl.acm.org/doi/abs/10.14778/3372716.3372728,2019,139,"""Optane"" ""Database""",Yes,,,,
Page Table Management for Heterogeneous Memory Systems,https://arxiv.org/abs/2103.10779,2021,1,"""Optane"" ""Database""",Yes,,,,
"Leveraging NVMe SSDs for building a fast, cost-effective, LSM-tree-based KV store",https://dl.acm.org/doi/abs/10.1145/3480963,2021,19,"""Optane"" ""Database""",Yes,,,,
"Research on High-Performance Framework of Big Data Acquisition, Storage and Application for Warfare Simulation",https://ieeexplore.ieee.org/abstract/document/10594023/,2024,1,"""Optane"" ""Database""",Yes,,,,
Motivating Next-Generation OS Physical Memory Management for Terabyte-Scale NVMMs,https://arxiv.org/abs/2310.03370,2023,0,"""Optane"" ""Database""",Yes,,,,
Do we still need IO schedulers for low-latency disks?,https://dl.acm.org/doi/abs/10.1145/3599691.3603400,2023,11,"""Optane"" ""Database""",Yes,,,,
[C] Automatic tiering for in-memory database systems,,2022,5,"""Optane"" ""Database""",Yes,,,,
"Zebra: an efficient, RDMA-enabled distributed persistent memory file system",https://link.springer.com/chapter/10.1007/978-3-031-00123-9_28,2022,2,"""Optane"" ""Database""",Yes,,,,
Computation-in-Memory Accelerators for Secure Graph Database: Opportunities and Challenges,https://ieeexplore.ieee.org/abstract/document/9712502/,2022,0,"""Optane"" ""Database""",Yes,,,,
NVCaracal: A Deterministic Database for Non-Volatile Main Memory,https://search.proquest.com/openview/3ff5d4176e41e61a87a142e644a6a8be/1?pq-origsite=gscholar&cbl=18750&diss=y,2022,1,"""Optane"" ""Database""",Yes,,,,
Optimizing large-scale plasma simulations on persistent memory-based heterogeneous memory with effective data placement across memory hierarchy,https://dl.acm.org/doi/abs/10.1145/3447818.3460356,2021,23,"""Optane"" ""Database""",Yes,,,,
Non-volatile memory database management systems,https://books.google.com/books?hl=en&lr=&id=386HDwAAQBAJ&oi=fnd&pg=PP2&dq=%22optane%22+%2B+%22database%22&ots=jnaM0gv7rg&sig=4bSRLmwRpqAd0fUBYUMx_XT9A3c,2019,20,"""Optane"" ""Database""",Yes,,,,
Characterizing non-volatile memory transactional systems,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper68-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""Database""",No,,,,
An efficient sorting algorithm for non-volatile memory,https://www.worldscientific.com/doi/abs/10.1142/S0218194021400143,2021,6,"""Optane"" ""Database""",Yes,,,,
On Usage of Non-Volatile Memory as Primary Storage for Database Management Systems,https://arxiv.org/abs/2502.09431,2025,0,"""Optane"" ""Database""",Yes,,,,
DPTree: Differential indexing for persistent memory,https://dl.acm.org/doi/abs/10.14778/3372716.3372717,2019,94,"""Optane"" ""Database""",Yes,,,,
Integrating a Smart Storage Engine into a Database System,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/627505/1/Zorca_Mihai.pdf,2023,0,"""Optane"" ""Database""",Yes,,,,
PFtree: Optimizing Persistent Adaptive Radix Tree for PM Systems on eADR Platform,https://link.springer.com/chapter/10.1007/978-3-031-30637-2_4,2023,1,"""Optane"" ""Database""",Yes,,,,
LATTE: A native table engine on NVMe storage,https://ieeexplore.ieee.org/abstract/document/9101472/,2020,10,"""Optane"" ""Database""",Yes,,,,
Improving Main-memory Database System Performance through Cooperative Multitasking,https://infoscience.epfl.ch/entities/publication/c38aef1e-2265-4b48-aa48-6ce8b588f47c,2019,0,"""Optane"" ""Database""",Yes,,,,
pmmeter: A microbenchmark for understanding synchronization cost on persistent memory,https://ieeexplore.ieee.org/abstract/document/10066607/,2023,1,"""Optane"" ""Database""",Yes,,,,
SAP HANA Data Volume Management,https://arxiv.org/abs/2305.17723,2023,3,"""Optane"" ""Database""",Yes,,,,
TLBtree: A read/write-optimized tree index for non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9458817/,2021,20,"""Optane"" ""Database""",Yes,,,,
Assise: Performance and availability via client-local {NVM} in a distributed file system,https://www.usenix.org/conference/osdi20/presentation/anderson,2020,83,"""Optane"" ""Database""",Yes,,,,
Hybrid-Memcached: A Novel Approach for Memcached Persistence Optimization With Hybrid Memory,https://ieeexplore.ieee.org/abstract/document/10492614/,2024,0,"""Optane"" ""Database""",Yes,,,,
Database Drivers,https://link.springer.com/chapter/10.1007/978-1-4842-9711-7_5,2023,0,"""Optane"" ""Database""",Yes,,,,
AutoPersist: an easy-to-use Java NVM framework based on reachability,https://dl.acm.org/doi/abs/10.1145/3314221.3314608,2019,56,"""Optane"" ""Database""",Yes,,,,
[CITATION] Persistent memory in database systems,,2022,1,"""Optane"" ""Database""",Yes,,,,
Boosting OLTP Performance with Per-Page Logging on NVDIMM,https://dl.acm.org/doi/abs/10.1145/3709667,2025,1,"""Optane"" ""Database""",Yes,,,,
