Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Large-scale in-memory analytics on Intel® Optane™ DC persistent memory,https://dl.acm.org/doi/abs/10.1145/3399666.3399933,2020,45,"""Optane"" ""File+System""",Yes,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""File+System""",Yes,,,,
Performance and protection in the ZoFS user-space NVM file system,https://dl.acm.org/doi/abs/10.1145/3341301.3359637,2019,136,"""Optane"" ""File+System""",Yes,,,,
Analyzing and Improving CPU and Energy Efficiency of PM File Systems,https://dl.acm.org/doi/abs/10.1145/3609308.3625265,2023,3,"""Optane"" ""File+System""",Yes,,,,
A read-efficient and write-optimized hash table for Intel Optane DC Persistent Memory,https://www.sciencedirect.com/science/article/pii/S0167739X24003297,2024,1,"""Optane"" ""File+System""",Yes,,,,
Power-aware Computing with Optane Persistent Memory Modules,https://ieeexplore.ieee.org/abstract/document/10196603/,2023,1,"""Optane"" ""File+System""",Yes,,,,
A survey of non-volatile main memory file systems,https://link.springer.com/article/10.1007/s11390-023-1054-3,2023,3,"""Optane"" ""File+System""",Yes,,,,
Assise: Performance and availability via client-local {NVM} in a distributed file system,https://www.usenix.org/conference/osdi20/presentation/anderson,2020,83,"""Optane"" ""File+System""",Yes,,,,
Using intel optane devices for in-situ data staging in hpc workflows,https://arxiv.org/abs/1807.09651,2018,2,"""Optane"" ""File+System""",No,,,,
[C] DISTRIBUTED INDEXING AND SEARCH IN LARGE-SCALE STORAGE SYSTEMS,,2022,0,"""Optane"" ""File+System""",Yes,,,,
NVM in Data Storage: A Post-Optane Future,https://dl.acm.org/doi/abs/10.1145/3731454,2025,0,"""Optane"" ""File+System""",Yes,,,,
Scalable persistent memory file system with {Kernel-Userspace} collaboration,https://www.usenix.org/conference/fast21/presentation/chen-youmin,2021,75,"""Optane"" ""File+System""",Yes,,,,
Performance benefits of Intel® Optane™ DC persistent memory for the parallel processing of large neuroimaging data,https://ieeexplore.ieee.org/abstract/document/9139615/,2020,3,"""Optane"" ""File+System""",Yes,,,,
Full-Scale File System Acceleration on GPU,https://dl.gi.de/items/289ff299-55bb-46cb-8af8-813bdbb1ad55,2024,1,"""Optane"" ""File+System""",Yes,,,,
A prompt report on the performance of intel optane dc persistent memory module,https://search.ieice.org/bin/summary.php?id=e103-d_5_1168,2020,29,"""Optane"" ""File+System""",Yes,,,,
Exploiting intel optane ssd for microsoft sql server,https://dl.acm.org/doi/abs/10.1145/3329785.3329916,2019,23,"""Optane"" ""File+System""",Yes,,,,
Enabling high-performance and secure userspace nvm file systems with the trio architecture,https://dl.acm.org/doi/abs/10.1145/3600006.3613171,2023,16,"""Optane"" ""File+System""",Yes,,,,
A performance study of optane persistent memory: From indexing data structures' perspective,https://msstconference.org/MSST-history/2020/Papers/02.APerformanceStudyOptane.pdf,2020,3,"""Optane"" ""File+System""",Yes,,,,
Libnvmmio: Reconstructing software {IO} path with {Failure-Atomic}{Memory-Mapped} interface,https://www.usenix.org/conference/atc20/presentation/choi,2020,40,"""Optane"" ""File+System""",Yes,,,,
WineFS: a hugepage-aware file system for persistent memory that ages gracefully,https://dl.acm.org/doi/abs/10.1145/3477132.3483567,2021,56,"""Optane"" ""File+System""",Yes,,,,
Evaluating the latest Optane memory: A glorious swansong?,https://www.research.ed.ac.uk/en/publications/evaluating-the-latest-optane-memory-a-glorious-swansong,2023,0,"""Optane"" ""File+System""",Yes,,,,
Linefs: Efficient smartnic offload of a distributed file system with pipeline parallelism,https://dl.acm.org/doi/abs/10.1145/3477132.3483565,2021,62,"""Optane"" ""File+System""",Yes,,,,
System measurement of Intel AEP Optane DIMM,https://arxiv.org/abs/2009.14469,2009,2,"""Optane"" ""File+System""",No,,,,
{P2CACHE}: Exploring Tiered Memory for {In-Kernel} File Systems Caching,https://www.usenix.org/conference/atc23/presentation/lin,2023,17,"""Optane"" ""File+System""",Yes,,,,
A NUMA-aware NVM file system design for manycore server applications,https://ieeexplore.ieee.org/abstract/document/9285968/,2020,7,"""Optane"" ""File+System""",Yes,,,,
"Zebra: an efficient, RDMA-enabled distributed persistent memory file system",https://link.springer.com/chapter/10.1007/978-3-031-00123-9_28,2022,2,"""Optane"" ""File+System""",Yes,,,,
Numa-aware thread migration for high performance nvmm file systems,https://msstconference.org/MSST-history/2020/Papers/16.NUMAaware.pdf,2020,12,"""Optane"" ""File+System""",Yes,,,,
Performance analysis of 3D XPoint SSDs in virtualized and non-virtualized environments,https://ieeexplore.ieee.org/abstract/document/8644859/,2018,19,"""Optane"" ""File+System""",No,,,,
{Ultra-Low} latency {SSDs}'impact on overall energy efficiency,https://www.usenix.org/conference/hotstorage20/presentation/harris,2020,30,"""Optane"" ""File+System""",Yes,,,,
A Survey on File Defragmentation Techniques on Modern Storage Systems,https://ieeexplore.ieee.org/abstract/document/10393099/,2023,0,"""Optane"" ""File+System""",Yes,,,,
{FlatFS}: Flatten Hierarchical File System Namespace on Non-volatile Memories,https://www.usenix.org/conference/atc22/presentation/cai,2022,8,"""Optane"" ""File+System""",Yes,,,,
A Study of LS-DYNA® Implicit Running the Rolls-Royce® Large Representative Engine Model with Intel® Optane™ DC Persistent Memory Technology,https://lsdyna.ansys.com/wp-content/uploads/attachments/t8-1-f-computing-technology-188.pdf,,0,"""Optane"" ""File+System""",No,,,,
Leveraging Intel Optane for HPC Workflows,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper11-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""File+System""",No,,,,
ITEC-OS Teaching-Bachelor and Master Theses-Finished Theses-GPU4FS: A Graphics Processor-Accelerated File System,https://os.itec.kit.edu/97_3851.php,2022,0,"""Optane"" ""File+System""",Yes,,,,
Intel Optane Data Center Persistent Memory,https://ieeexplore.ieee.org/abstract/document/8875668/,,0,"""Optane"" ""File+System""",No,,,,
Kernel/user-level collaborative persistent memory file system with efficiency and protection,https://arxiv.org/abs/1908.10740,1908,4,"""Optane"" ""File+System""",No,,,,
Exploring efficient architectures on remote in-memory nvm over rdma,https://dl.acm.org/doi/abs/10.1145/3477004,2021,6,"""Optane"" ""File+System""",Yes,,,,
Persistent Memory File Systems: A Survey,https://arxiv.org/abs/2310.02880,2023,0,"""Optane"" ""File+System""",Yes,,,,
{CompoundFS}: Compounding {I/O} Operations in Firmware File Systems,https://www.usenix.org/conference/hotstorage20/presentation/ren,2020,7,"""Optane"" ""File+System""",Yes,,,,
Is Data Migration Evil in the NVM File System?,https://ieeexplore.ieee.org/abstract/document/9599236/,2021,1,"""Optane"" ""File+System""",Yes,,,,
Performance Analytics of Graph Algorithms Using Intel Optane DC Persistent Memory,https://search.proquest.com/openview/59840d772290d600c1b8a7f566c93e15/1?pq-origsite=gscholar&cbl=18750&diss=y,2021,0,"""Optane"" ""File+System""",Yes,,,,
An Empirical Performance Evaluation of Multiple Intel Optane Solid-State Drives,https://www.mdpi.com/2079-9292/10/11/1325,2021,0,"""Optane"" ""File+System""",Yes,,,,
FINCHFS: Design of Ad-Hoc File System for I/O Heavy HPC Workloads,https://ieeexplore.ieee.org/abstract/document/10740840/,2024,1,"""Optane"" ""File+System""",Yes,,,,
RomeFS: A CXL-SSD Aware File System Exploiting Synergy of Memory-Block Dual Paths,https://dl.acm.org/doi/abs/10.1145/3698038.3698539,2024,2,"""Optane"" ""File+System""",Yes,,,,
RAID on a File System Level for GPU4FS,https://os.itec.kit.edu/downloads/2023_BA_Lucka_RAID_GPU4FS.pdf,2023,0,"""Optane"" ""File+System""",Yes,,,,
UnifyFS: A user-level shared file system for unified access to distributed local storage,https://ieeexplore.ieee.org/abstract/document/10177390/,2023,24,"""Optane"" ""File+System""",Yes,,,,
Baidu Feed Stream Services Restructures Its In-Memory Database with Intel® Optane™ Technology,https://www.intel.com/content/dam/www/public/us/en/documents/case-studies/baidu-feed-case-study.pdf,2020,3,"""Optane"" ""File+System""",Yes,,,,
Directories for GPU4FS,https://os.itec.kit.edu/downloads/2023_BA_Kittner_Dirs_for_GPU4FS.pdf,2023,0,"""Optane"" ""File+System""",Yes,,,,
Cheetah: An Adaptive User-Space Cache for Non-volatile Main Memory File Systems,https://link.springer.com/chapter/10.1007/978-3-030-85896-4_17,2021,0,"""Optane"" ""File+System""",Yes,,,,
FPGA-Accelerated Non-Volatile Memory Access,https://www.betriebssysteme.org/wp-content/uploads/2022/09/FGBS2022-autumn_paper_2180.pdf,2022,2,"""Optane"" ""File+System""",Yes,,,,
A large scale graph processing using Low Latency Optane SSD,https://www.researchgate.net/profile/Muhammad-Umair-18/publication/334049910_A_large_scale_graph_processing_using_Low_Latency_Optane_SSD/links/5f3a771f92851cd302fe1e55/A-large-scale-graph-processing-using-Low-Latency-Optane-SSD.pdf,2019,0,"""Optane"" ""File+System""",Yes,,,,
File systems as processes,https://www.usenix.org/conference/hotstorage19/presentation/liu,2019,35,"""Optane"" ""File+System""",Yes,,,,
NVMFS-IOzone: Performance evaluation for the new NVMM-based file systems,https://dl.acm.org/doi/abs/10.1145/3383669.3398281,2020,2,"""Optane"" ""File+System""",Yes,,,,
{GeminiFS}: A Companion File System for {GPUs},https://www.usenix.org/conference/fast25/presentation/qiu,2025,0,"""Optane"" ""File+System""",Yes,,,,
Towards Enhanced I/O Performance of NVM File Systems,https://ieeexplore.ieee.org/abstract/document/10487081/,2023,0,"""Optane"" ""File+System""",Yes,,,,
Parallelizing shared file I/O operations of NVM file system for manycore servers,https://ieeexplore.ieee.org/abstract/document/9336709/,2021,6,"""Optane"" ""File+System""",Yes,,,,
Assise: performance and availability via NVM colocation in a distributed file system,https://arxiv.org/abs/1910.05106,2019,8,"""Optane"" ""File+System""",Yes,,,,
Fast checkpointing of Large Language Models with TensorStore CHFS,https://sc23.supercomputing.org/proceedings/src_poster/poster_files/spostg105s3-file1.pdf,,0,"""Optane"" ""File+System""",No,,,,
ReoFS: A Read-Efficient and Write-Optimized File System for Persistent Memory,https://ieeexplore.ieee.org/abstract/document/9376188/,2020,0,"""Optane"" ""File+System""",Yes,,,,
TPFS: a high-performance tiered file system for persistent memories and disks,https://dl.acm.org/doi/abs/10.1145/3580280,2023,9,"""Optane"" ""File+System""",Yes,,,,
Cascade lake: Next generation intel xeon scalable processor,https://ieeexplore.ieee.org/abstract/document/8641463/,2019,97,"""Optane"" ""File+System""",Yes,,,,
Characterizing the Performance of Intel Optane Persistent Memory,https://ranger.uta.edu/~sjiang/pubs/papers/xiang22-Pmem.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
Platform storage performance with 3D XPoint technology,https://ieeexplore.ieee.org/abstract/document/8003284/,2017,302,"""Optane"" ""File+System""",No,,,,
Assise: Performance and Availability via Client-local NVM in a Distributed File System Thomas E. Anderson1 Marco Canini2 Jongyul Kim3 Dejan Kostic4 Youngjin …,https://sands.kaust.edu.sa/papers/assise.osdi20.pdf,,0,"""Optane"" ""File+System""",No,,,,
Overcoming the Last Mile between Log-Structured File Systems and Persistent Memory via Scatter Logging,https://dl.acm.org/doi/abs/10.1145/3689031.3717488,2025,0,"""Optane"" ""File+System""",Yes,,,,
Assise: Performance and Availability via Client-local NVM in a Distributed File System,https://wreda.github.io/papers/assise-osdi20.pdf,2020,0,"""Optane"" ""File+System""",Yes,,,,
Challenges and Considerations in Data Recovery from Solid State Media: A Comparative Analysis with Traditional Devices,https://ieeexplore.ieee.org/abstract/document/10538524/,2023,0,"""Optane"" ""File+System""",Yes,,,,
ctFS: Converting File Index Traversals to Hardware Memory Translation through Contiguous File Allocation for Persistent Memory,https://www.usenix.org/sites/default/files/login_0.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
ctFs: Eliminating File Indexing with Contiguous File System on Persistent Memory,https://search.proquest.com/openview/73a2e2151a3e00fdf1799911ec37ad78/1?pq-origsite=gscholar&cbl=18750&diss=y,2022,0,"""Optane"" ""File+System""",Yes,,,,
Libpubl: exploiting persistent user buffers as logs for write atomicity,https://dl.acm.org/doi/abs/10.1145/3465332.3470874,2021,0,"""Optane"" ""File+System""",Yes,,,,
An empirical guide to the behavior and use of scalable persistent memory,https://www.usenix.org/conference/fast20/presentation/yang,2020,569,"""Optane"" ""File+System""",Yes,,,,
BPTree: An optimized index with batch persistence on optane DC PM,https://link.springer.com/chapter/10.1007/978-3-030-73200-4_32,2021,6,"""Optane"" ""File+System""",Yes,,,,
Strata: A cross media file system,https://dl.acm.org/doi/abs/10.1145/3132747.3132770,2017,293,"""Optane"" ""File+System""",No,,,,
{CrossFS}: A cross-layered {Direct-Access} file system,https://www.usenix.org/conference/osdi20/presentation/ren,2020,44,"""Optane"" ""File+System""",Yes,,,,
An efficient in-memory analytics system based on persistent memory,https://ieeexplore.ieee.org/abstract/document/10020461/,2022,1,"""Optane"" ""File+System""",Yes,,,,
File system designs on low-latency storage devices,https://repositories.lib.utexas.edu/items/d6dd0ab1-32ad-44e5-9211-ba53f703c2a1,2020,0,"""Optane"" ""File+System""",Yes,,,,
BPF for storage: an exokernel-inspired approach,https://dl.acm.org/doi/abs/10.1145/3458336.3465290,2021,32,"""Optane"" ""File+System""",Yes,,,,
Revisiting virtual file system for metadata optimized non-volatile main memory file system,https://msstconference.org/MSST-history/2020/Papers/20.RevisitingVFS.pdf,2020,1,"""Optane"" ""File+System""",Yes,,,,
On stacking a persistent memory file system on legacy file systems,https://www.usenix.org/conference/fast23/presentation/woo,2023,27,"""Optane"" ""File+System""",Yes,,,,
When caching systems meet emerging storage devices: A case study,https://dl.acm.org/doi/abs/10.1145/3599691.3603413,2023,3,"""Optane"" ""File+System""",Yes,,,,
Asynchronous {I/O} stack: A low-latency kernel {I/O} stack for {Ultra-Low} latency {SSDs},https://www.usenix.org/conference/atc19/presentation/lee-gyusun,2019,112,"""Optane"" ""File+System""",Yes,,,,
Performance comparison of daos and lustre for object data storage approaches,https://ieeexplore.ieee.org/abstract/document/10027152/,2022,6,"""Optane"" ""File+System""",Yes,,,,
Analysis and Mitigation of Data Sanitization Overhead in DAX File Systems,https://ieeexplore.ieee.org/abstract/document/9978507/,2022,0,"""Optane"" ""File+System""",Yes,,,,
"Exploiting Flat Namespace to Improve File System Metadata Performance on Ultra-Fast, Byte-Addressable NVMs",https://dl.acm.org/doi/abs/10.1145/3620673,2024,1,"""Optane"" ""File+System""",Yes,,,,
Boosting File Systems Elegantly: A Transparent {NVM} Write-ahead Log for Disk File Systems,https://www.usenix.org/conference/fast25/presentation/wang,2025,1,"""Optane"" ""File+System""",Yes,,,,
Chipmunk: Investigating crash-consistency in persistent-memory file systems,https://dl.acm.org/doi/abs/10.1145/3552326.3567498,2023,18,"""Optane"" ""File+System""",Yes,,,,
BypassD: Enabling fast userspace access to shared SSDs,https://dl.acm.org/doi/abs/10.1145/3617232.3624854,2024,3,"""Optane"" ""File+System""",Yes,,,,
Revitalizing the Forgotten {On-Chip}{DMA} to Expedite Data Movement in {NVM-based} Storage Systems,https://www.usenix.org/conference/fast23/presentation/su,2023,11,"""Optane"" ""File+System""",Yes,,,,
Assessing the use cases of persistent memory in high-performance scientific computing,https://ieeexplore.ieee.org/abstract/document/9652843/,2021,6,"""Optane"" ""File+System""",Yes,,,,
Redesigning Data and Metadata Updates in PM File Systems with Persistent CPU Caches,https://link.springer.com/chapter/10.1007/978-981-97-5572-1_33,2024,1,"""Optane"" ""File+System""",Yes,,,,
Characterizing and modeling non-volatile memory systems,https://ieeexplore.ieee.org/abstract/document/9251957/,2020,125,"""Optane"" ""File+System""",Yes,,,,
Simurgh: a fully decentralized and secure NVMM user space file system,https://dl.acm.org/doi/abs/10.1145/3458817.3476180,2021,20,"""Optane"" ""File+System""",Yes,,,,
PROFS: CPU Profile-based Tiering File System for All Flash Storage System,http://nvmw.ucsd.edu/nvmw2020-program/unzip/current3/nvmw2020-final8.pdf,,0,"""Optane"" ""File+System""",No,,,,
Assessment of the I/O and Storage Subsystem in Modular Supercomputing Architectures,https://ieeexplore.ieee.org/abstract/document/9912665/,2022,3,"""Optane"" ""File+System""",Yes,,,,
Nova-fortis: A fault-tolerant non-volatile main memory file system,https://dl.acm.org/doi/abs/10.1145/3132747.3132761,2017,215,"""Optane"" ""File+System""",No,,,,
FusionFS: A Contention-Resilient File System for Persistent CPU Caches,https://dl.acm.org/doi/abs/10.1145/3719656,2025,0,"""Optane"" ""File+System""",Yes,,,,
UHS: An Ultra-fast Hybrid Storage Consolidating NVM and SSD in Parallel,https://ieeexplore.ieee.org/abstract/document/10137151/,2023,3,"""Optane"" ""File+System""",Yes,,,,
PetaKV: building efficient key-value store for file system metadata on persistent memory,https://ieeexplore.ieee.org/abstract/document/9999527/,2022,4,"""Optane"" ""File+System""",Yes,,,,
Exploring the Viability of Composable Architectures to Overcome Memory Limitations in High Performance Computing Workflows,https://dl.acm.org/doi/abs/10.1145/3626203.3670620,2024,0,"""Optane"" ""File+System""",Yes,,,,
Subzero: Zero-copy io for persistent main memory file systems,https://dl.acm.org/doi/abs/10.1145/3409963.3410489,2020,18,"""Optane"" ""File+System""",Yes,,,,
{SingularFS}: A {Billion-Scale} distributed file system using a single metadata server,https://www.usenix.org/conference/atc23/presentation/guo,2023,12,"""Optane"" ""File+System""",Yes,,,,
{FusionFS}: Fusing {I/O} Operations using {CISCOps} in Firmware File Systems,https://www.usenix.org/conference/fast22/presentation/zhang-jian,2022,17,"""Optane"" ""File+System""",Yes,,,,
DAOS as HPC Storage: Exploring Interfaces,https://ieeexplore.ieee.org/abstract/document/10321870/,2023,4,"""Optane"" ""File+System""",Yes,,,,
{Light-Dedup}: A Light-weight Inline Deduplication Framework for {Non-Volatile} Memory File Systems,https://www.usenix.org/conference/atc23/presentation/qiu-jiansheng,2023,9,"""Optane"" ""File+System""",Yes,,,,
Extending Memory Capacity in Modern Consumer Systems With Emerging Non-Volatile Memory: Experimental Analysis and Characterization Using the Intel Optane …,https://ieeexplore.ieee.org/abstract/document/10258271/,2023,2,"""Optane"" ""File+System""",Yes,,,,
Hemem: Scalable tiered memory management for big data applications and real nvm,https://dl.acm.org/doi/abs/10.1145/3477132.3483550,2021,131,"""Optane"" ""File+System""",Yes,,,,
Accelerating I/O performance of ZFS-based Lustre file system in HPC environment,https://link.springer.com/article/10.1007/s11227-022-04966-7,2023,3,"""Optane"" ""File+System""",Yes,,,,
UHNVM: A Universal Heterogeneous Cache Design with Non-Volatile Memory,https://www.mdpi.com/2079-9292/10/15/1760,2021,0,"""Optane"" ""File+System""",Yes,,,,
An Empirical Study of NVM-based File System,https://ieeexplore.ieee.org/abstract/document/9628430/,2021,1,"""Optane"" ""File+System""",Yes,,,,
Reducing relational database performance bottlenecks using 3D XPoint storage technology,https://ieeexplore.ieee.org/abstract/document/8456140/,2018,12,"""Optane"" ""File+System""",No,,,,
Enhancing endurance of ssd based high-performance storage systems using emerging nvm technologies,https://ieeexplore.ieee.org/abstract/document/9150324/,2020,8,"""Optane"" ""File+System""",Yes,,,,
{HTMFS}: strong consistency comes for free with hardware transactional memory in persistent memory file systems,https://www.usenix.org/conference/fast22/presentation/yi-htmfs,2022,19,"""Optane"" ""File+System""",Yes,,,,
Characterizing deep-learning I/O workloads in TensorFlow,https://ieeexplore.ieee.org/abstract/document/8638422/,2018,71,"""Optane"" ""File+System""",No,,,,
CFFS: A Persistent Memory File System for Contiguous File Allocation With Fine-Grained Metadata,https://ieeexplore.ieee.org/abstract/document/9869672/,2022,2,"""Optane"" ""File+System""",Yes,,,,
TLBtree: A read/write-optimized tree index for non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9458817/,2021,20,"""Optane"" ""File+System""",Yes,,,,
25 Years of Storage Research and Education: A Retrospective.,https://www.usenix.org/system/files/fast22-slides-keynote-aparci-dusseau.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
Siberian supercomputer center as a service for bioinformatics research,https://conf.icgbio.ru/bgrssb2018/wp-content/uploads/sites/35/2017/01/MM-HPC-BBB-2018.pdf#page=17,2018,0,"""Optane"" ""File+System""",No,,,,
Persistent memory I/O primitives,https://dl.acm.org/doi/abs/10.1145/3329785.3329930,2019,126,"""Optane"" ""File+System""",Yes,,,,
Storage Systems (StoSys) XM_0092 Lecture 6: Byte-Addressable Persistent Memories,https://animeshtrivedi.github.io/files/2020/stosys/2020-stosys-lecture6-pmem.pdf,,0,"""Optane"" ""File+System""",No,,,,
DaxVM: Stressing the limits of memory as a file interface,https://ieeexplore.ieee.org/abstract/document/9923852/,2022,17,"""Optane"" ""File+System""",Yes,,,,
Optimizing memory-mapped {I/O} for fast storage devices,https://www.usenix.org/conference/atc20/presentation/papagiannis,2020,63,"""Optane"" ""File+System""",Yes,,,,
Do we still need IO schedulers for low-latency disks?,https://dl.acm.org/doi/abs/10.1145/3599691.3603400,2023,11,"""Optane"" ""File+System""",Yes,,,,
NVMulator: A configurable open-source non-volatile memory emulator for FPGAs,https://link.springer.com/chapter/10.1007/978-3-031-42921-7_3,2023,2,"""Optane"" ""File+System""",Yes,,,,
{SplitKV}: Splitting {IO} Paths for Different Sized {Key-Value} Items with Advanced Storage Devices,https://www.usenix.org/conference/hotstorage20/presentation/han,2020,18,"""Optane"" ""File+System""",Yes,,,,
Challenges and solutions for fast remote persistent memory access,https://dl.acm.org/doi/abs/10.1145/3419111.3421294,2020,60,"""Optane"" ""File+System""",Yes,,,,
HashTag: Fast Lookup in a Persistent Memory File System,https://ieeexplore.ieee.org/abstract/document/9926368/,2022,0,"""Optane"" ""File+System""",Yes,,,,
